Vindi,Vindi
"Credit Card Type","Bandeiras de Cartão de Crédito"
"Credit Card Owner","Nome no Cartão"
"Card Number","Número do Cartão"
Installments,Parcelas
N/A,N/A
"Interest Rate","Taxa de Juros"
"Callback List","Lista de Callbacks"
"Request List","Lista de Requisições"
Content,Conteúdo
Params,Parâmetros
"Webhook %1","Webhook %1"
"Order %1 on %2","Pedido %1 em %2"
"There was an error processing your request.","Houve um erro ao processar sua requisição."
"Payment data object should be provided","Todos os dados de pagamento devem ser fornecidos"
"Your order wasn't accepted, please, review your payment's data or choose another payment method.","Seu pedido não foi aceito, por favor, revise os dados de pagamento ou escolha outro método de pagamento."
"The transaction is taking longer than expected, please try again in a few moments","A transação está demorando mais do que o esperado, por favor, tente novamente em alguns momentos"
"with interest","com juros"
"with discount","com desconto"
"without interest","sem juros"
"%1x of %2 (%3). Total: %4","%1x de %2 (%3). Total: %4"
"Callback received %1 -> %2","Callback recebido %1 -> %2"
"Your payment for the order %1 was confirmed","Seu pagamento para o pedido %1 foi confirmado"
"The order %1 was cancelled. Amount of %2","O pedido %1 foi cancelado. Valor de %2"
"The order had the amount refunded by Vindi. Amount of %1","O pedido teve o valor reembolsado pela Vindi. Valor de %1"
Authorize,"Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Street Line %1","Linha de Endereço %1"
"Item with id ""%1"" does not exist.","Item com id ""%1"" não existe."
"Could not save the callback info: %1","Não foi possível salvar as informações do callback: %1"
"Could not save the request info: %1","Não foi possível salvar as informações da requisição: %1"
"Credit Card Information not provided","Informações do Cartão de Crédito não fornecidas"
"Error trying to refund order on Vindi","Erro ao tentar reembolsar pedido na Vindi"
"The order had the amount refunded on Vindi. Amount of %1","O pedido teve o valor reembolsado na Vindi. Valor de %1"
"Not Available","Não Disponível"
"Card Information","Informações do Cartão"
"Card Brand","Bandeira do Cartão"
"Name on Card","Nome no Cartão"
"Expiration Date","Data de Expiração"
"Card Verification Number (CVV)","Número de Verificação do Cartão (CVV)"
"What is this?","O que é isso?"
"Card Installments","Parcelamento do Cartão"
"Insert your card number to see installments options","Insira o número do seu cartão para ver as opções de parcelamento"
"Buyer Taxvat","CPF do Responsável"
"Place Order","Finalizar compra"
"Select Brand","Selecionar Bandeira"
Month,Mês
Year,Ano
"Card Verification Number","Número de Verificação do Cartão"
"Please enter a valid credit card type number.","Por favor, insira um número de cartão de crédito válido."
"Vindi VP","Vindi Payments (VP)"
"Bank Slip Payment","Pagamento com Boleto"
Enabled,Ativado
Title,Título
"Use Default Checkout Instructions","Usar Instruções de Checkout Padrão"
"If yes, it'll show a default checkout instructions","Se sim, mostrará instruções de checkout padrão"
"Checkout Instructions","Instruções de Checkout"
"Instructions to be shown in checkout's page, it can be HTML","Instruções a serem mostradas na página de checkout, pode ser HTML"
"New Order Status","Status de Novos Pedidos"
"Paid Order Status","Status de Pedidos Pagos"
"Paid Virtual Order Status","Status de Pedidos Virtuais Pagos"
"Cancelled Order Status","Status de Pedidos Cancelados"
"Sort Order","Ordem de Exibição"
"Payment From Applicable Countries","Pagamento de Países Aplicáveis"
"Payment From Specific Countries","Pagamento de Países Específicos"
"Minimum Order Total.","Valor Mínimo do Pedido"
"Maximum Order Total.","Valor Máximo do Pedido"
"Only orders with an amount higher than this will show this method","Somente pedidos com o valor maior que o informado mostrarão este método"
"Only orders with an amount lower than this will show this method","Somente pedidos com o valor menor que o informado mostrarão este método"
"Credit Card","Cartão de Crédito"
"Auto Capture","Captura Automática"
"Credit Card Types","Tipos de Cartão de Crédito"
"Authorized Order Status","Status de Pedidos Autorizados"
General,Geral
"Credentials and General Settings","Credenciais e Configurações Gerais"
"Configuration Email","E-mail de Configuração"
Token,Token
"Use Sandbox","Usar Ambiente de Testes"
"If enabled, the transaction will be done in Vindi's test environment","Se habilitado, a transação será feita no ambiente de testes da Vindi"
"Refund when order is cancelled","Estornar quando o pedido é cancelado (se aplicável)"
"Refund when creditmemo is created from order","Estornar quando a nota de crédito é criada a partir do pedido"
